dimension,projected_variance,reconstruction_mse,variance_retention
1,0.031014496790,0.004520831518,0.176538602294
2,0.058662517745,0.003656830863,0.333914780558
3,0.078042325570,0.003051211869,0.444227200238
4,0.093743870837,0.002560538579,0.533602464781
5,0.105586987967,0.002190441169,0.601015047969
6,0.115785565816,0.001871735611,0.659066696885
7,0.125211908383,0.001577162406,0.712722680817
8,0.132746321803,0.001341711986,0.755609554764
9,0.139009511359,0.001145987313,0.791260454971
10,0.144578202420,0.000971965717,0.822958178242
11,0.149929134577,0.000804749087,0.853416389135
12,0.154488006077,0.000662284353,0.879366086403
13,0.158246842387,0.000544820718,0.900761877952
14,0.161171976410,0.000453410280,0.917412126240
15,0.163473509413,0.000381487373,0.930512755345
16,0.165643155737,0.000313685926,0.942862668100
17,0.167528007818,0.000254784298,0.953591494499
18,0.168907861454,0.000211663872,0.961445803214
19,0.170184765740,0.000171760613,0.968714110657
20,0.171364897000,0.000134881511,0.975431573288
21,0.172187030481,0.000109189840,0.980111265389
22,0.172939011306,0.000085690439,0.984391639328
23,0.173610677293,0.000064700877,0.988214850626
24,0.174000524526,0.000052518151,0.990433912442
25,0.174378879663,0.000040694553,0.992587559733
26,0.174741577982,0.000029360231,0.994652086356
27,0.175038483766,0.000020081925,0.996342113202
28,0.175257411303,0.000013240439,0.997588277588
29,0.175468881503,0.000006631996,0.998791993828
30,0.175603479410,0.000002425811,0.999558142850
31,0.175681105356,0.000000000000,0.999999999963
