codeword_index,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32
0,0.046053927863,0.028526284298,0.010263682516,0.010278195925,0.286062720142,0.066318266685,0.011734632634,0.010532338733,0.072244249005,0.018074638700,0.004779942309,0.013403946690,0.067670391249,0.019603894826,0.006163192140,0.004358509561,0.081286158773,0.168934845522,0.057749742739,0.025875933201,0.009457890718,0.005804920215,0.002287300302,0.004572283568,0.002331464473,0.000610485089,0.000336291227,0.000166482729,0.004410722074,0.001643110776,0.001229027296,0.001245894908
1,0.012126754047,0.018818638914,0.011112706090,0.009511250082,0.024054729077,0.023458942396,0.004509007282,0.003815855106,0.009002861465,0.003122522491,0.000954640297,0.005866815941,0.004963113714,0.004814094359,0.000677122316,0.000465701564,0.006108224094,0.005829756249,0.011275608669,0.011013202622,0.022077089156,0.035893243270,0.026370391563,0.006063928195,0.019959048799,0.099975240300,0.773542976150,0.033998136144,0.008742452352,0.026448472660,0.028171573151,0.011383839510
2,0.011400867714,0.015419642988,0.009375224666,0.012610076500,0.017565464454,0.015285428734,0.008138402763,0.008236268291,0.017235473840,0.043332041993,0.033411909601,0.017712625555,0.030588694602,0.180572331919,0.571221409856,0.108070496685,0.013496272203,0.027272479859,0.040066156473,0.020626509871,0.002003221096,0.001419435422,0.000714260319,0.000794187229,0.001237199093,0.000482180535,0.000805664137,0.000472977119,0.001972960668,0.001590818867,0.001428031376,0.004175584188
3,0.206618052077,0.066402717497,0.016281154732,0.013952605865,0.038260381680,0.014741138678,0.004965017291,0.003345014935,0.012199021924,0.002582919794,0.000722328227,0.003248679533,0.016967546323,0.003006521433,0.001185708978,0.001353212452,0.015172396916,0.007346194356,0.005385957866,0.007244493113,0.045741089315,0.011951519981,0.001715581261,0.002659495306,0.097093815048,0.006055216604,0.001175842131,0.001022254868,0.467690564407,0.052909302760,0.006599510114,0.005708947507
4,0.068970657245,0.032154518120,0.018529580335,0.010820253239,0.021334315478,0.007432170526,0.002840890586,0.003682315907,0.005691507786,0.002924415608,0.000715864618,0.003745075251,0.013013072560,0.003384837220,0.001151405060,0.001232019240,0.030579444750,0.017856319488,0.007895288778,0.003265271587,0.196229226933,0.033816025218,0.006785538600,0.005739523586,0.383082164439,0.027401181759,0.003899627924,0.003612254959,0.166782997018,0.033959987960,0.009988358828,0.006667586959
5,0.006769441762,0.005789459497,0.006624082611,0.009117352869,0.008050526382,0.013506112477,0.007813579751,0.005283364203,0.008918955639,0.036336526255,0.022995409721,0.013198902375,0.014966936542,0.041922967480,0.158029003136,0.628464553687,0.009162703748,0.019120814335,0.017000198167,0.041487530796,0.005236899541,0.005377329951,0.001539191418,0.001561130941,0.005459641478,0.000789242880,0.000172068281,0.000236967009,0.007552052736,0.005190127026,0.006290399669,0.003418421862
6,0.033932383826,0.027301662080,0.023588643651,0.014903786706,0.016254566951,0.011002937640,0.007481581125,0.006081796029,0.004594912275,0.005141366773,0.001745415072,0.004668075449,0.008352263170,0.003264156294,0.001151358663,0.001578995904,0.020590582445,0.046150626987,0.025774529612,0.009165792215,0.063899557993,0.633182972622,0.054358050853,0.021497366275,0.030855636135,0.043895270281,0.007875356479,0.001915567297,0.018844662735,0.017627111190,0.006502199616,0.004369350264
7,0.014847434927,0.013624872049,0.024174734280,0.017232960285,0.027199571245,0.006667384380,0.000904360172,0.000884182452,0.005901256905,0.003319104356,0.000486108774,0.001617324533,0.006933156678,0.002066323183,0.000293076155,0.000286992622,0.012384636741,0.002095455259,0.000419640119,0.000598134286,0.050206590690,0.087285859367,0.008471887435,0.005065702194,0.106569074746,0.516560233257,0.077515626201,0.014117009314,0.026404905688,0.049625405385,0.031299831110,0.008609799445
8,0.023897651148,0.026255011108,0.028485674951,0.018603107993,0.014537018271,0.018024199208,0.012625694601,0.005426945647,0.006677510478,0.005253476192,0.004805103168,0.005839539141,0.006963196419,0.005614282362,0.003467853189,0.002196905240,0.013285013877,0.020482847661,0.036671800962,0.014878191542,0.019087554642,0.115260779967,0.498379939178,0.098018796972,0.007910726371,0.017207961547,0.022229351292,0.007064140248,0.009134634662,0.019757023242,0.015942764728,0.010789453682
9,0.009127469385,0.017739943097,0.022206355646,0.007991907573,0.011887097075,0.007327323147,0.005297696696,0.001479815151,0.009934374268,0.003417226610,0.000419847888,0.002518673616,0.009118681939,0.004220881273,0.000414286310,0.000348589033,0.004904282452,0.011889777964,0.011476743297,0.004140356125,0.008171777029,0.021680729163,0.018250607268,0.047743247323,0.014951685782,0.019519285509,0.042909810771,0.759096946416,0.007936947824,0.032169128593,0.044178745060,0.021017358856
10,0.032820713856,0.009562380511,0.004565354970,0.002989563607,0.017748694136,0.006381980896,0.002334436901,0.002340593233,0.005633270335,0.001506073736,0.000812468231,0.004939665832,0.010007357086,0.001140502031,0.000603919705,0.001003477525,0.096236094212,0.020961400206,0.009463742530,0.004836294292,0.684236368926,0.055791189489,0.007943413521,0.011008921835,0.038892028586,0.002547756500,0.001042389520,0.000477439871,0.019192588730,0.003746874327,0.001405922346,0.000721306973
11,0.032933647856,0.039308558722,0.019749970291,0.017199835428,0.008979808524,0.005786359100,0.000867453932,0.001144155195,0.002410400995,0.002250420959,0.000532449342,0.003946663964,0.001909548149,0.000580529124,0.000339655497,0.000482714386,0.003710256673,0.000674032834,0.000340137080,0.000396346366,0.006847727586,0.004020784353,0.000489294315,0.000599605927,0.023769748325,0.016797546288,0.002807971417,0.002434026701,0.099744067892,0.607195624066,0.150834437138,0.048139916451
12,0.007392594304,0.009682453435,0.023492746658,0.091225141139,0.001911370448,0.005070169042,0.004243141224,0.009450765285,0.001533416143,0.002657161752,0.003536719746,0.008918390486,0.002202487363,0.004114936575,0.002035859077,0.002127980647,0.000915362065,0.000888962196,0.001005729813,0.000981178755,0.000679608875,0.001065464431,0.000727987414,0.004806923818,0.001031711993,0.001030816086,0.002026974807,0.004831111423,0.004487223091,0.013364686043,0.073016217745,0.742980955219
