sample_id,codeword_index
1,52
2,59
3,38
4,35
5,56
6,117
7,38
8,35
9,124
10,100
11,27
12,59
13,101
14,121
15,107
16,52
17,120
18,6
19,45
20,117
21,124
22,38
23,56
24,27
25,71
26,27
27,55
28,27
29,27
30,59
31,125
32,112
33,58
34,101
35,52
36,120
37,101
38,27
39,28
40,36
41,27
42,79
43,21
44,27
45,120
46,28
47,72
48,49
49,79
50,102
51,100
52,52
53,27
54,99
55,45
56,73
57,52
58,120
59,131
60,35
61,83
62,101
63,36
64,28
65,27
66,38
67,55
68,117
69,128
70,100
71,41
72,36
73,27
74,89
75,52
76,38
77,27
78,55
79,36
80,52
81,59
82,59
83,97
84,52
85,120
86,59
87,28
88,28
89,99
90,115
91,79
92,62
93,75
94,36
95,120
96,45
97,35
98,55
99,76
100,130
101,24
102,71
103,125
104,119
105,65
106,71
107,129
108,46
109,50
110,131
111,50
112,130
113,74
114,130
115,71
116,98
117,115
118,80
119,125
120,89
121,47
122,24
123,131
124,131
125,85
126,75
127,129
128,112
129,65
130,72
131,129
132,10
133,130
134,97
135,71
136,131
137,72
138,71
139,71
140,112
141,50
142,37
143,109
144,119
145,115
146,71
147,105
148,111
149,51
150,129
151,129
152,64
153,118
154,83
155,29
156,129
157,29
158,65
159,111
160,129
161,84
162,111
163,89
164,112
165,122
166,111
167,54
168,79
169,51
170,37
171,37
172,72
173,72
174,37
175,24
176,50
177,72
178,10
179,44
180,65
181,71
182,98
183,55
184,129
185,109
186,130
187,50
188,119
189,106
190,109
191,81
192,98
193,79
194,60
195,107
196,76
197,62
198,83
199,92
200,106
201,71
202,125
203,29
204,92
205,0
206,129
207,10
208,109
209,50
210,131
211,37
212,129
213,92
214,129
215,92
216,24
217,109
218,109
219,100
220,129
221,122
222,74
223,0
224,125
225,129
226,54
227,89
228,71
229,115
230,129
231,92
232,92
233,50
234,118
235,37
236,92
237,129
238,54
239,125
240,37
241,54
242,72
243,129
244,129
245,29
246,37
247,110
248,72
249,71
250,50
251,0
252,29
253,54
254,119
255,85
256,119
257,71
258,74
259,122
260,85
261,74
262,29
263,92
264,65
265,50
266,37
267,17
268,50
269,50
270,65
271,50
272,109
273,129
274,54
275,129
276,50
277,37
278,129
279,92
280,92
281,50
282,50
283,115
284,74
285,17
286,72
287,71
288,65
289,115
290,50
291,92
292,122
293,47
294,129
295,115
296,129
297,24
298,129
299,10
300,29
301,106
302,106
303,15
304,118
305,80
306,119
307,74
308,50
309,17
310,17
311,106
312,80
313,17
314,129
315,112
316,37
317,25
318,26
319,101
320,70
321,74
322,17
323,71
324,65
325,92
326,54
327,97
328,118
329,47
330,62
331,115
332,51
333,74
334,51
335,85
336,19
337,84
338,111
339,130
340,130
341,130
342,105
343,95
344,131
345,109
346,85
347,60
348,84
349,74
350,118
351,54
352,125
353,119
354,115
355,51
356,119
357,118
358,74
359,44
360,71
361,80
362,83
363,116
364,131
365,60
366,131
367,84
368,122
369,111
370,131
371,71
372,65
373,131
374,50
375,118
376,106
377,115
378,130
379,119
380,131
381,85
382,51
383,119
384,131
385,131
386,115
387,75
388,59
389,119
390,84
391,119
392,131
393,109
394,128
395,60
396,106
397,75
398,80
399,80
400,106
401,103
402,102
403,81
404,23
405,123
406,36
407,93
408,128
409,117
410,107
411,121
412,53
413,95
414,56
415,115
416,89
417,125
418,104
419,67
420,81
421,40
422,76
423,76
424,91
425,58
426,62
427,81
428,49
429,66
430,95
431,61
432,35
433,0
434,53
435,53
436,99
437,102
438,95
439,115
440,114
441,83
442,83
443,101
444,93
445,105
446,79
447,95
448,34
449,104
450,85
451,89
452,30
453,23
454,75
455,43
456,95
457,88
458,113
459,88
460,30
461,90
462,123
463,16
464,123
465,90
466,102
467,116
468,75
469,88
470,23
471,61
472,75
473,23
474,6
475,127
476,83
477,105
478,21
479,81
480,51
481,90
482,21
483,102
484,74
485,85
486,116
487,98
488,112
489,76
490,119
491,71
492,83
493,29
494,29
495,74
496,119
497,15
498,15
499,5
500,129
501,74
502,74
503,131
504,44
505,74
506,0
507,74
508,74
509,115
510,118
511,83
512,50
513,16
514,74
515,74
516,115
517,74
518,50
519,50
520,74
521,118
522,74
523,74
524,129
525,50
526,74
527,74
528,115
529,74
530,131
531,131
532,74
533,92
534,129
535,125
536,118
537,24
538,125
539,129
540,118
541,74
542,74
543,74
544,29
545,119
546,119
547,47
548,127
549,115
550,115
551,128
552,72
553,72
554,119
555,106
556,119
557,37
558,129
559,71
560,118
561,92
562,74
563,71
564,29
565,129
566,129
567,37
568,89
569,83
570,110
571,129
572,131
573,80
574,127
575,74
576,80
577,119
578,116
579,74
580,74
581,119
582,71
583,71
584,50
585,80
586,74
587,119
588,74
589,71
590,131
591,119
592,130
593,74
594,89
595,115
596,74
597,130
598,119
599,119
600,77
601,102
602,127
603,46
604,48
605,83
606,125
607,125
608,80
609,114
610,92
611,95
612,46
613,97
614,76
615,95
616,97
617,62
618,116
619,48
620,2
621,23
622,107
623,16
624,72
625,47
626,80
627,58
628,108
629,125
630,37
631,19
632,112
633,73
634,125
635,126
636,92
637,53
638,77
639,23
640,127
641,97
642,91
643,111
644,127
645,75
646,127
647,103
648,104
649,64
650,24
651,129
652,53
653,114
654,97
655,103
656,21
657,123
658,31
659,103
660,86
661,80
662,23
663,0
664,29
665,83
666,89
667,108
668,24
669,83
670,50
671,111
672,17
673,129
674,29
675,24
676,74
677,90
678,47
679,95
680,127
681,123
682,62
683,73
684,88
685,37
686,92
687,29
688,55
689,129
690,119
691,90
692,15
693,118
694,41
695,6
696,92
697,10
698,106
699,24
700,92
701,67
702,29
703,123
704,39
705,29
706,88
707,117
708,112
709,20
710,80
711,10
712,10
713,50
714,8
715,17
716,129
717,8
718,29
719,17
720,15
721,97
722,129
723,80
724,14
725,15
726,83
727,113
728,129
729,51
730,17
731,17
732,17
733,37
734,21
735,40
736,121
737,29
738,69
739,88
740,107
741,39
742,108
743,47
744,64
745,74
746,39
747,128
748,53
749,90
750,37
751,1
752,50
753,127
754,103
755,24
756,50
757,111
758,92
759,94
760,85
761,128
762,104
763,125
764,83
765,24
766,109
767,67
768,56
769,19
770,94
771,131
772,24
773,46
774,125
775,29
776,70
777,30
778,20
779,53
780,21
781,55
782,103
783,73
784,50
785,15
786,87
787,29
788,73
789,92
790,19
791,30
792,15
793,70
794,128
795,128
796,69
797,31
798,92
799,119
800,117
801,39
802,75
803,102
804,80
805,119
806,115
807,17
808,114
809,53
810,122
811,123
812,73
813,128
814,69
815,128
816,84
817,53
818,127
819,103
820,103
821,122
822,131
823,21
824,122
825,94
826,73
827,70
828,123
829,128
830,39
831,73
832,100
833,55
834,117
835,73
836,130
837,114
838,73
839,49
840,35
841,46
842,117
843,23
844,88
845,39
846,107
847,38
848,55
849,96
850,125
851,54
852,51
853,37
854,15
855,60
856,92
857,4
858,115
859,51
860,125
861,95
862,92
863,91
864,29
865,60
866,123
867,104
868,53
869,113
870,75
871,106
872,114
873,34
874,23
875,61
876,127
877,95
878,86
879,130
880,130
881,97
882,131
883,12
884,131
885,21
886,128
887,64
888,95
889,65
890,85
891,100
892,47
893,72
894,67
895,24
896,84
897,127
898,114
899,37
900,118
901,115
902,119
903,125
904,44
905,29
906,17
907,17
908,14
909,24
910,65
911,72
912,24
913,37
914,92
915,50
916,115
917,17
918,37
919,29
920,37
921,89
922,29
923,72
924,92
925,72
926,10
927,24
928,24
929,10
930,17
931,15
932,24
933,125
934,75
935,15
936,24
937,71
938,24
939,17
940,17
941,119
942,98
943,0
944,111
945,6
946,80
947,29
948,17
949,17
950,29
951,17
952,8
953,15
954,15
955,14
956,15
957,15
958,17
959,89
960,125
961,131
962,115
963,118
964,115
965,17
966,17
967,15
968,106
969,15
970,8
971,14
972,14
973,14
974,14
975,106
976,8
977,125
978,0
979,92
980,10
981,29
982,0
983,65
984,24
985,24
986,80
987,15
988,14
989,17
990,15
991,17
992,17
993,24
994,17
995,24
996,92
997,24
998,92
999,24
1000,29
1001,47
1002,0
1003,92
1004,47
1005,29
1006,36
1007,127
1008,34
1009,28
1010,120
1011,66
1012,56
1013,21
1014,93
1015,32
1016,55
1017,36
1018,58
1019,28
1020,28
1021,102
1022,125
1023,116
1024,36
1025,112
1026,47
1027,108
1028,82
1029,108
1030,45
1031,97
1032,115
1033,108
1034,38
1035,15
1036,67
1037,10
1038,71
1039,62
1040,10
1041,113
1042,34
1043,70
1044,120
1045,96
1046,38
1047,96
1048,38
1049,76
1050,130
1051,14
1052,44
1053,104
1054,29
1055,32
1056,43
1057,32
1058,24
1059,108
1060,116
1061,47
1062,83
1063,108
1064,108
1065,126
1066,112
1067,67
1068,95
1069,67
1070,108
1071,34
1072,112
1073,59
1074,62
1075,115
1076,43
1077,112
1078,125
1079,116
1080,42
1081,62
1082,12
1083,83
1084,98
1085,75
1086,12
1087,59
1088,24
1089,121
1090,36
1091,12
1092,6
1093,44
1094,90
1095,83
1096,36
1097,22
1098,116
1099,72
1100,74
1101,102
1102,67
1103,120
1104,70
1105,78
1106,43
1107,75
1108,78
1109,55
1110,56
1111,117
1112,81
1113,98
1114,60
1115,81
1116,60
1117,75
1118,124
1119,60
1120,84
1121,124
1122,26
1123,83
1124,130
1125,84
1126,60
1127,106
1128,68
1129,96
1130,59
1131,106
1132,86
1133,130
1134,106
1135,121
1136,128
1137,96
1138,28
1139,78
1140,78
1141,124
1142,106
1143,88
1144,14
1145,101
1146,27
1147,94
1148,123
1149,102
1150,94
1151,116
1152,102
1153,106
1154,58
1155,80
1156,59
1157,89
1158,86
1159,130
1160,86
1161,86
1162,74
1163,86
1164,41
1165,86
1166,49
1167,97
1168,55
1169,55
1170,107
1171,94
1172,103
1173,97
1174,88
1175,93
1176,94
1177,59
1178,59
1179,106
1180,102
1181,69
1182,121
1183,46
1184,106
1185,96
1186,117
1187,76
1188,121
1189,75
1190,117
1191,97
1192,88
1193,102
1194,34
1195,117
1196,106
1197,75
1198,14
1199,117
1200,81
1201,111
1202,73
1203,18
1204,35
1205,122
1206,127
1207,122
1208,46
1209,94
1210,53
1211,70
1212,92
1213,79
1214,79
1215,53
1216,83
1217,131
1218,53
1219,124
1220,96
1221,53
1222,96
1223,36
1224,44
1225,19
1226,124
1227,73
1228,13
1229,11
1230,124
1231,23
1232,123
1233,53
1234,19
1235,68
1236,96
1237,68
1238,53
1239,53
1240,53
1241,11
1242,96
1243,19
1244,123
1245,68
1246,127
1247,128
1248,23
1249,53
1250,35
1251,35
1252,19
1253,48
1254,128
1255,53
1256,53
1257,122
1258,124
1259,123
1260,121
1261,59
1262,123
1263,40
1264,19
1265,49
1266,123
1267,91
1268,123
1269,81
1270,53
1271,128
1272,81
1273,123
1274,90
1275,109
1276,53
1277,91
1278,61
1279,103
1280,81
1281,23
1282,53
1283,69
1284,27
1285,101
1286,42
1287,23
1288,128
1289,123
1290,123
1291,123
1292,96
1293,130
1294,53
1295,53
1296,127
1297,102
1298,39
1299,123
1300,53
1301,23
1302,52
1303,27
1304,18
1305,52
1306,101
1307,19
1308,27
1309,98
1310,39
1311,18
1312,97
1313,49
1314,70
1315,76
1316,53
1317,81
1318,89
1319,83
1320,97
1321,102
1322,19
1323,117
1324,123
1325,53
1326,90
1327,123
1328,75
1329,97
1330,6
1331,97
1332,19
1333,19
1334,127
1335,123
1336,72
1337,75
1338,97
1339,46
1340,23
1341,102
1342,129
1343,124
1344,75
1345,19
1346,27
1347,102
1348,12
1349,63
1350,23
1351,19
1352,23
1353,96
1354,12
1355,14
1356,12
1357,78
1358,12
1359,19
1360,23
1361,96
1362,97
1363,2
1364,75
1365,53
1366,78
1367,96
1368,96
1369,96
1370,69
1371,97
1372,59
1373,130
1374,114
1375,95
1376,53
1377,53
1378,73
1379,59
1380,53
1381,53
1382,104
1383,97
1384,103
1385,53
1386,104
1387,48
1388,73
1389,53
1390,69
1391,53
1392,102
1393,96
1394,53
1395,123
1396,81
1397,131
1398,53
1399,96
1400,78
1401,21
1402,54
1403,119
1404,50
1405,50
1406,54
1407,115
1408,50
1409,106
1410,71
1411,50
1412,74
1413,92
1414,95
1415,74
1416,131
1417,83
1418,10
1419,47
1420,37
1421,92
1422,83
1423,89
1424,75
1425,131
1426,131
1427,51
1428,37
1429,89
1430,119
1431,76
1432,115
1433,112
1434,10
1435,119
1436,37
1437,64
1438,119
1439,37
1440,105
1441,37
1442,131
1443,65
1444,106
1445,65
1446,1
1447,127
1448,89
1449,118
1450,131
1451,118
1452,74
1453,51
1454,118
1455,119
1456,74
1457,83
1458,115
1459,131
1460,37
1461,119
1462,65
1463,94
1464,29
1465,44
1466,3
1467,79
1468,74
1469,121
1470,44
1471,68
1472,66
1473,68
1474,44
1475,82
1476,52
1477,74
1478,74
1479,118
1480,24
1481,121
1482,74
1483,63
1484,115
1485,37
1486,39
1487,102
1488,130
1489,96
1490,102
1491,37
1492,89
1493,43
1494,104
1495,99
1496,62
1497,65
1498,106
1499,87
1500,55
1501,120
1502,51
1503,83
1504,81
1505,81
1506,122
